 Radioactive Decay Experiment Wed, Nov 16, 2022 10:04 AM
Sample Number	Number of Counts
1	12
2	11
3	7
4	11
5	5
6	6
7	7
8	6
9	11
10	7
11	12
12	10
13	8
14	16
15	5
16	18
17	11
18	9
19	11
20	19
21	10
22	9
23	7
24	8
25	18
26	11
27	8
28	10
29	6
30	13
31	11
32	10
33	9
34	8
35	11
36	9
37	6
38	9
39	11
40	7
41	8
42	10
43	10
44	11
45	12
46	12
47	8
48	8
49	10
50	9
51	11
52	14
53	6
54	8
55	11
56	11
57	13
58	9
59	7
60	13
61	10
62	10
63	14
64	12
65	14
66	14
67	12
68	9
69	7
70	12
71	13
72	13
73	14
74	12
75	17
76	9
77	11
78	14
79	16
80	6
81	13
82	7
83	10
84	11
85	11
86	8
87	10
88	10
89	10
90	10
91	10
92	15
93	12
94	8
95	9
96	12
97	5
98	15
99	8
100	14
101	9
102	16
103	17
104	13
105	10
106	12
107	7
108	10
109	12
110	9
111	2
112	6
113	13
114	11
115	5
116	13
117	6
118	12
119	10
120	6
121	8
122	10
123	8
124	7
125	6
126	9
127	10
128	10
129	12
130	19
131	19
132	12
133	8
134	13
135	17
136	14
137	8
138	13
139	8
140	10
141	9
142	8
143	10
144	11
145	11
146	5
147	11
148	13
149	6
150	11
151	6
152	18
153	12
154	14
155	13
156	13
157	9
