 Radioactive Decay Experiment Wed, Oct 26, 2022 12:00 PM
Sample Number	Number of Counts
1	6
2	7
3	7
4	9
5	5
6	10
7	9
8	12
9	14
10	8
11	7
12	13
13	11
14	7
15	8
16	12
17	10
18	10
19	11
20	14
21	11
22	7
23	16
24	10
25	13
26	9
27	7
28	9
29	11
30	10
31	5
32	13
33	14
34	13
35	11
36	10
37	7
38	10
39	9
40	12
41	7
42	16
43	9
44	11
45	13
46	7
47	13
48	10
49	5
50	16
51	11
52	7
53	13
54	7
55	7
56	9
57	16
58	13
59	8
60	10
61	11
62	5
63	9
64	15
65	13
66	10
67	11
68	10
69	10
70	6
71	8
72	16
73	15
74	6
75	9
76	10
77	12
78	7
79	13
80	13
81	12
82	7
83	10
84	18
85	9
86	12
87	5
88	11
89	13
90	7
91	8
92	11
93	12
94	11
95	6
96	12
97	14
98	9
99	11
100	12
101	10
102	14
103	10
104	15
105	9
106	8
107	6
108	12
109	10
110	14
111	14
112	11
113	8
114	12
115	8
116	14
117	9
118	15
119	17
120	11
121	15
122	11
123	6
124	12
125	13
126	13
127	11
128	11
129	14
130	10
131	10
132	8
133	12
134	14
135	6
136	13
137	13
138	11
139	11
140	10
141	12
142	12
143	3
144	12
145	8
146	16
147	12
148	17
149	14
150	14
151	11
152	10
153	15
154	15
155	14
156	12
157	8
158	13
159	8
160	6
161	8
162	14
163	7
164	7
165	11
166	10
167	9
168	9
169	14
170	21
171	11
172	9
173	8
174	10
175	14
176	15
177	11
178	7
179	13
180	15
