no polarizar,,,polarizer horizontal,,,polarizer vertical,
"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:34 AM",,,"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:40 AM",,,"Polarization of Light 'Brewsters' Data File Wed, Mar 15, 2023 10:43 AM",
Sensor Position (Degrees),Light Intensity (Volts),,Sensor Position (Degrees),Light Intensity (Volts),,Sensor Position (Degrees),Light Intensity (Volts)
180,1.96628,,180,4.20037,,180,4.20069
180,1.96692,,180,4.20181,,180,4.20181
180,1.96434,,180,4.20085,,180,4.1994
180,1.97014,,180,4.19908,,180,4.19972
180,1.96902,,180,4.20391,,180,4.19763
180,1.96499,,180,4.20214,,180,4.20246
180,1.96757,,180,4.20117,,180,4.20037
180,1.97175,,180,4.20165,,180,4.20004
180,1.97095,,180,4.20085,,180,4.20101
180,1.96869,,180,4.19843,,180,4.2023
180,1.9695,,180,4.20117,,180,4.20214
180,1.96805,,180,4.20117,,180,4.20165
180,1.96837,,180,4.20069,,180,4.20117
180,1.96918,,180,4.19972,,180,4.19811
180,1.96966,,180,4.2002,,180,4.19956
180,1.96966,,180.01667,4.20262,,180,4.20246
180,1.96612,,180,4.20181,,180,4.20326
180,1.96918,,180,4.19843,,180,4.20246
180,1.96902,,180,4.20214,,180,4.20181
180,1.97143,,180,4.20262,,180,4.20181
180,1.97336,,180,4.19972,,180,4.20037
180,1.97111,,180,4.20053,,180,4.20246
180,1.97481,,180,4.20198,,180,4.20053
180,1.97208,,180,4.19924,,180,4.20214
180,1.9703,,180,4.19908,,180,4.20133
180,1.96885,,180,4.19892,,180,4.19827
180,1.96708,,180,4.20053,,180,4.19682
180,1.97272,,180,4.20085,,180,4.20246
180,1.97127,,180,4.2023,,180,4.20326
180,1.97014,,180,4.20117,,180,4.20214
180,1.96869,,180,4.19875,,180,4.19811
180,1.9703,,180,4.20359,,180,4.20004
180,1.9724,,180,4.2023,,180,4.20004
180,1.97288,,180,4.20133,,180,4.20246
180,1.97224,,180,4.20359,,180,4.20326
180,1.97272,,180,4.20037,,180,4.20504
180,1.97127,,180,4.19892,,180,4.20133
180,1.96934,,180,4.2002,,180,4.19972
180,1.97014,,180,4.20149,,180,4.20294
180,1.96966,,180,4.19827,,180,4.20133
180,1.97095,,180,4.20085,,180,4.2023
180,1.97079,,180,4.20214,,180,4.20053
180,1.9703,,180,4.19972,,180,4.20069
180,1.96918,,180.01667,4.20181,,180,4.20004
180,1.97159,,180.01667,4.2002,,180,4.2023
180,1.97175,,180,4.19956,,180,4.20423
180,1.96998,,180,4.20278,,180,4.20149
180,1.96676,,180,4.20439,,180,4.20069
180,1.96708,,180,4.20085,,180,4.20117
180,1.9666,,180,4.20133,,180,4.20488
180,1.96724,,180.01667,4.20069,,180,4.20407
180,1.96579,,180.01667,4.2002,,180,4.20181
180,1.96515,,180.01667,4.19908,,180,4.20133
180,1.9666,,180.01667,4.19908,,180,4.20407
180,1.96885,,180.01667,4.19956,,180,4.20165
180,1.96837,,180.01667,4.19972,,180,4.20085
180,1.9666,,180.01667,4.1994,,180,4.20165
180,1.9674,,180.01667,4.19875,,180,4.20246
180,1.96418,,180.03333,4.20471,,180,4.20165
180,1.9674,,180.03333,4.20181,,180,4.20343
180,1.96676,,180.03333,4.19811,,180,4.2023
180,1.97014,,180.03333,4.20262,,180,4.20246
180,1.97175,,180.03333,4.20053,,180,4.20149
180,1.97272,,180.03333,4.20037,,180,4.20181
180,1.97063,,180.03333,4.20278,,180,4.19972
180,1.9674,,180.03333,4.20037,,180,4.19988
180,1.9666,,180.03333,4.19908,,180,4.2002
