 Radioactive Decay Experiment Wed, Oct 26, 2022 10:52 AM
Sample Number	Number of Counts
1	346
2	331
3	284
4	330
5	343
6	337
7	348
8	346
9	351
10	334
11	371
12	334
13	363
14	326
15	341
16	368
17	334
18	334
19	337
20	346
21	356
22	356
23	335
24	345
25	331
26	324
27	353
28	339
29	324
30	336
31	363
32	303
33	380
34	345
35	323
36	338
37	308
38	333
39	320
40	361
41	351
42	344
43	331
44	341
45	309
46	299
47	347
48	366
49	303
50	326
51	333
52	324
53	336
54	374
55	325
56	317
57	290
58	318
59	323
60	317
61	342
62	330
63	311
64	339
65	345
66	342
67	339
68	348
69	330
70	345
71	339
72	344
73	328
74	340
75	342
76	318
77	314
78	332
79	345
80	330
81	322
82	319
83	339
84	308
85	338
86	351
87	351
88	324
89	335
90	346
