 Radioactive Decay Experiment Wed, Nov 16, 2022 12:02 PM
Sample Number	Number of Counts
1	64
2	49
3	49
4	51
5	50
6	53
7	50
8	51
9	57
10	57
11	68
12	60
13	64
14	65
15	56
16	60
17	46
18	41
19	50
20	49
21	48
22	56
23	61
24	47
25	52
26	47
27	49
28	45
29	60
30	46
31	52
32	49
33	44
34	54
35	53
36	47
37	52
38	47
39	37
40	49
41	45
42	56
43	40
44	44
45	42
46	55
47	49
48	57
49	46
50	38
51	46
52	33
53	50
54	41
55	43
56	48
57	52
58	34
59	51
60	54
61	47
62	46
63	60
64	46
65	46
66	45
67	38
68	38
69	41
70	44
71	44
72	52
73	42
74	30
75	48
76	48
77	32
78	37
79	49
80	41
81	34
82	31
83	48
84	38
85	33
86	39
87	36
88	38
89	39
90	47
91	38
92	42
93	36
94	30
95	39
96	44
97	35
98	50
99	35
100	44
101	36
102	35
103	41
104	44
105	47
106	41
107	36
108	27
109	41
110	39
111	35
112	42
113	33
114	36
115	38
116	46
117	34
118	29
119	30
120	35
121	34
122	31
123	30
124	42
125	35
126	25
127	40
128	35
129	46
130	36
131	44
132	29
133	25
134	39
135	28
136	44
137	31
138	34
139	30
140	32
141	33
142	34
143	31
144	25
145	31
146	30
147	40
148	30
149	37
150	36
151	32
152	34
153	26
154	26
155	31
156	32
157	27
158	26
159	38
160	23
161	33
162	24
163	30
164	37
165	29
166	32
167	28
168	21
169	25
170	36
171	33
172	24
173	33
174	22
175	31
176	42
177	18
178	26
179	31
180	32
181	26
182	34
183	22
184	39
185	24
186	26
187	28
188	24
189	34
190	34
191	30
192	18
193	38
194	22
195	34
196	28
197	23
198	32
199	21
200	30
201	26
202	30
203	29
204	26
205	26
206	22
207	23
208	24
209	18
210	28
211	24
212	23
213	30
214	25
215	26
216	31
217	25
218	19
219	18
220	23
221	31
222	22
223	28
224	27
225	23
226	28
227	27
228	18
229	22
230	24
231	18
232	27
233	28
234	21
235	18
236	16
237	26
238	18
239	29
240	26
241	16
242	21
243	24
244	26
245	29
246	27
247	22
248	24
249	20
250	31
251	28
252	28
253	22
254	22
255	24
256	32
257	20
258	25
259	26
260	17
261	23
262	20
263	24
264	21
265	23
266	17
267	21
268	20
269	21
270	31
271	15
272	18
273	23
274	23
275	28
276	28
277	25
278	24
279	26
280	20
281	29
282	18
283	17
284	23
285	21
286	23
287	20
288	24
289	21
290	22
291	24
292	21
293	19
294	18
295	20
296	17
297	21
298	22
299	14
300	22
301	14
302	16
303	27
304	17
305	17
306	16
307	24
308	20
309	31
310	14
311	15
312	19
313	18
314	21
315	14
316	17
317	18
318	19
319	22
320	18
321	20
322	14
323	13
324	22
325	18
326	10
327	17
328	22
329	14
330	11
331	13
332	20
333	13
334	23
335	19
336	21
337	19
338	16
339	13
340	18
341	16
342	18
